slug,coach,coach_id,ending,total_games,total_wins,total_losses,start_rating,end_rating,improvement,top,bottom,middle,last_improvement
johnsde01c|03|03|LAC,Dennis Johnson,johnsde01c,interim only,24.0,8.0,16.0,1373.7866,1402.4567,28.6701,1402.4567,1343.8271,1362.44135,28.6701
dunlemi01c|03|10|LAC,Mike Dunleavy,dunlemi01c,resigned,541.0,215.0,326.0,1421.4609,1418.8922,-2.5687,1591.725,1255.522,1450.5494,101.6373
hugheki01c|10|10|LAC,Kim Hughes,hugheki01c,interim only,33.0,8.0,25.0,1406.6433,1320.519,-86.1243,1406.6433,1292.1389,1354.2637,-86.1243
delnevi01c|10|13|LAC,Vinny Del Negro,delnevi01c,fired,230.0,128.0,102.0,1359.6786,1639.8809,280.2023,1690.4485,1303.2384,1530.70695,71.9333
riverdo01c|13|17|LAC,Doc Rivers,riverdo01c,,354.0,228.0,126.0,1575.4142,1488.64725757,-86.76694243,1715.3783,1463.81784978,1631.48017522,-111.97888713
jacksph01c|00|04|LAL,Phil Jackson,jacksph01c,fired,328.0,220.0,108.0,1658.3303,1638.3962,-19.9341,1759.2979,1526.1191,1626.52215,13.7548
tomjaru01c|04|05|LAL,Rudy Tomjanovich,tomjaru01c,resigned,43.0,24.0,19.0,1629.7335,1522.8645,-106.869,1629.7335,1514.5321,1574.4462,-106.869
hamblfr99c|05|05|LAL,Frank Hamblen,hamblfr99c,interim only,39.0,10.0,29.0,1516.3876,1413.0385,-103.3491,1516.3876,1413.0385,1473.0177,-103.3491
jacksph01c|05|11|LAL,Phil Jackson,jacksph01c,resigned,492.0,323.0,169.0,1445.3833,1658.889,213.5057,1748.3033,1434.8566,1641.3595,9.6888
brownmi99c|11|12|LAL,Mike Brown,brownmi99c,fired,71.0,42.0,29.0,1589.3716,1521.1603,-68.2113,1618.002,1518.7981,1594.2472,-20.5982
bickebe99c|12|12|LAL,Bernie Bickerstaff,bickebe99c,interim only,5.0,4.0,1.0,1529.4589,1542.873,13.4141,1542.873,1529.4589,1533.9518,13.4141
dantomi01c|12|14|LAL,Mike D'Antoni,dantomi01c,mutual,154.0,67.0,87.0,1545.8198,1394.3314,-151.4884,1569.0409,1338.6115,1499.82545,-127.8628
scottby01c|14|16|LAL,Byron Scott,scottby01c,fired,164.0,38.0,126.0,1410.6588,1275.2375127,-135.4212873,1417.563,1259.41081851,1324.5538423,-57.5777935
waltolu01c|16|17|LAL,Luke Walton,waltolu01c,,109.0,36.0,73.0,1343.28638035,1406.70851173,63.42213138,1428.74329098,1308.34291056,1379.53053358,15.29984518
rileypa01c|00|03|MIA,Pat Riley,rileypa01c,resigned,246.0,111.0,135.0,1584.976,1356.5063,-228.4697,1627.0229,1347.3716,1469.0526,-92.8118
vangust99c|03|05|MIA,Stan Van Gundy,vangust99c,resigned,185.0,112.0,73.0,1389.7332,1579.5322,189.799,1699.2987,1358.7866,1561.1201,-63.123
rileypa01c|05|08|MIA,Pat Riley,rileypa01c,resigned,226.0,100.0,126.0,1585.7769,1258.5845,-327.1924,1650.3894,1239.1592,1499.1719,-216.4178
spoeler99c|08|17|MIA,Erik Spoelstra,spoeler99c,,749.0,453.0,296.0,1316.2666,1516.25651555,199.98991555,1768.7365,1316.2666,1551.04603675,-26.11890513
karlge01c|00|03|MIL,George Karl,karlge01c,fired,246.0,135.0,111.0,1518.8068,1512.8979,-5.9089,1631.7972,1436.4969,1519.2004,53.1412
