franchise,team,year,coaches_text,coach,coach_id,wins,losses,games,order
TOR,TOR,2013,D. Casey (34-48),D. Casey,caseydw99c,34,48,82,1
TOR,TOR,2012,D. Casey (23-43),D. Casey,caseydw99c,23,43,66,1
TOR,TOR,2011,J. Triano (22-60),J. Triano,trianja99c,22,60,82,1
TOR,TOR,2010,J. Triano (40-42),J. Triano,trianja99c,40,42,82,1
TOR,TOR,2009,"S. Mitchell (8-9), J. Triano (25-40)",J. Triano,trianja99c,25,40,65,2
TOR,TOR,2009,"S. Mitchell (8-9), J. Triano (25-40)",S. Mitchell,mitchsa01c,8,9,17,1
TOR,TOR,2008,S. Mitchell (41-41),S. Mitchell,mitchsa01c,41,41,82,1
TOR,TOR,2007,S. Mitchell (47-35),S. Mitchell,mitchsa01c,47,35,82,1
TOR,TOR,2006,S. Mitchell (27-55),S. Mitchell,mitchsa01c,27,55,82,1
TOR,TOR,2005,S. Mitchell (33-49),S. Mitchell,mitchsa01c,33,49,82,1
TOR,TOR,2004,K. O'Neill (33-49),K. O'Neill,oneilke99c,33,49,82,1
TOR,TOR,2003,L. Wilkens (24-58),L. Wilkens,wilkele01c,24,58,82,1
TOR,TOR,2002,L. Wilkens (42-40),L. Wilkens,wilkele01c,42,40,82,1
TOR,TOR,2001,L. Wilkens (47-35),L. Wilkens,wilkele01c,47,35,82,1
UTA,UTA,2018,Q. Snyder (13-15),Q. Snyder,snydequ01c,13,15,28,1
UTA,UTA,2017,Q. Snyder (51-31),Q. Snyder,snydequ01c,51,31,82,1
UTA,UTA,2016,Q. Snyder (40-42),Q. Snyder,snydequ01c,40,42,82,1
UTA,UTA,2015,Q. Snyder (38-44),Q. Snyder,snydequ01c,38,44,82,1
UTA,UTA,2014,T. Corbin (25-57),T. Corbin,corbity01c,25,57,82,1
UTA,UTA,2013,T. Corbin (43-39),T. Corbin,corbity01c,43,39,82,1
UTA,UTA,2012,T. Corbin (36-30),T. Corbin,corbity01c,36,30,66,1
UTA,UTA,2011,"J. Sloan (31-23), T. Corbin (8-20)",T. Corbin,corbity01c,8,20,28,2
UTA,UTA,2011,"J. Sloan (31-23), T. Corbin (8-20)",J. Sloan,sloanje01c,31,23,54,1
UTA,UTA,2010,J. Sloan (53-29),J. Sloan,sloanje01c,53,29,82,1
UTA,UTA,2009,J. Sloan (48-34),J. Sloan,sloanje01c,48,34,82,1
UTA,UTA,2008,J. Sloan (54-28),J. Sloan,sloanje01c,54,28,82,1
UTA,UTA,2007,J. Sloan (51-31),J. Sloan,sloanje01c,51,31,82,1
UTA,UTA,2006,J. Sloan (41-41),J. Sloan,sloanje01c,41,41,82,1
UTA,UTA,2005,J. Sloan (26-56),J. Sloan,sloanje01c,26,56,82,1
UTA,UTA,2004,J. Sloan (42-40),J. Sloan,sloanje01c,42,40,82,1
UTA,UTA,2003,J. Sloan (47-35),J. Sloan,sloanje01c,47,35,82,1
UTA,UTA,2002,J. Sloan (44-38),J. Sloan,sloanje01c,44,38,82,1
UTA,UTA,2001,J. Sloan (53-29),J. Sloan,sloanje01c,53,29,82,1
MIA,MIA,2018,E. Spoelstra (13-14),E. Spoelstra,spoeler99c,13,14,27,1
MIA,MIA,2017,E. Spoelstra (41-41),E. Spoelstra,spoeler99c,41,41,82,1
MIA,MIA,2016,E. Spoelstra (48-34),E. Spoelstra,spoeler99c,48,34,82,1
MIA,MIA,2015,E. Spoelstra (37-45),E. Spoelstra,spoeler99c,37,45,82,1
MIA,MIA,2014,E. Spoelstra (54-28),E. Spoelstra,spoeler99c,54,28,82,1
MIA,MIA,2013,E. Spoelstra (66-16),E. Spoelstra,spoeler99c,66,16,82,1
MIA,MIA,2012,E. Spoelstra (46-20),E. Spoelstra,spoeler99c,46,20,66,1
MIA,MIA,2011,E. Spoelstra (58-24),E. Spoelstra,spoeler99c,58,24,82,1
MIA,MIA,2010,E. Spoelstra (47-35),E. Spoelstra,spoeler99c,47,35,82,1
MIA,MIA,2009,E. Spoelstra (43-39),E. Spoelstra,spoeler99c,43,39,82,1
MIA,MIA,2008,P. Riley (15-67),P. Riley,rileypa01c,15,67,82,1
MIA,MIA,2007,P. Riley (44-38),P. Riley,rileypa01c,44,38,82,1
MIA,MIA,2006,"S. Van Gundy (11-10), P. Riley (41-20)",P. Riley,rileypa01c,41,20,61,2
MIA,MIA,2006,"S. Van Gundy (11-10), P. Riley (41-20)",S. Van Gundy,vangust99c,11,10,21,1
MIA,MIA,2005,S. Van Gundy (59-23),S. Van Gundy,vangust99c,59,23,82,1
MIA,MIA,2004,S. Van Gundy (42-40),S. Van Gundy,vangust99c,42,40,82,1
MIA,MIA,2003,P. Riley (25-57),P. Riley,rileypa01c,25,57,82,1
MIA,MIA,2002,P. Riley (36-46),P. Riley,rileypa01c,36,46,82,1
MIA,MIA,2001,P. Riley (50-32),P. Riley,rileypa01c,50,32,82,1
VANMEM,MEM,2018,"D. Fizdale (7-12), J. Bickerstaff (1-8)",J. Bickerstaff,bickejb01c,1,8,9,2
VANMEM,MEM,2018,"D. Fizdale (7-12), J. Bickerstaff (1-8)",D. Fizdale,fizdada01c,7,12,19,1
VANMEM,MEM,2017,D. Fizdale (43-39),D. Fizdale,fizdada01c,43,39,82,1
VANMEM,MEM,2016,D. Joerger (42-40),D. Joerger,joergda99c,42,40,82,1
VANMEM,MEM,2015,D. Joerger (55-27),D. Joerger,joergda99c,55,27,82,1
VANMEM,MEM,2014,D. Joerger (50-32),D. Joerger,joergda99c,50,32,82,1
VANMEM,MEM,2013,L. Hollins (56-26),L. Hollins,hollili01c,56,26,82,1
VANMEM,MEM,2012,L. Hollins (41-25),L. Hollins,hollili01c,41,25,66,1
VANMEM,MEM,2011,L. Hollins (46-36),L. Hollins,hollili01c,46,36,82,1
VANMEM,MEM,2010,L. Hollins (40-42),L. Hollins,hollili01c,40,42,82,1
VANMEM,MEM,2009,"M. Iavaroni (11-30), J. Davis (0-2), L. Hollins (13-26)",L. Hollins,hollili01c,13,26,39,3
VANMEM,MEM,2009,"M. Iavaroni (11-30), J. Davis (0-2), L. Hollins (13-26)",J. Davis,davisjo01c,0,2,2,2
VANMEM,MEM,2009,"M. Iavaroni (11-30), J. Davis (0-2), L. Hollins (13-26)",M. Iavaroni,iavarma01c,11,30,41,1
VANMEM,MEM,2008,M. Iavaroni (22-60),M. Iavaroni,iavarma01c,22,60,82,1
VANMEM,MEM,2007,"M. Fratello (6-24), T. Barone (16-36)",T. Barone,baronto99c,16,36,52,2
VANMEM,MEM,2007,"M. Fratello (6-24), T. Barone (16-36)",M. Fratello,fratemi99c,6,24,30,1
VANMEM,MEM,2006,M. Fratello (49-33),M. Fratello,fratemi99c,49,33,82,1
VANMEM,MEM,2005,"H. Brown (5-7), L. Hollins (0-4), M. Fratello (40-26)",M. Fratello,fratemi99c,40,26,66,3
VANMEM,MEM,2005,"H. Brown (5-7), L. Hollins (0-4), M. Fratello (40-26)",L. Hollins,hollili01c,0,4,4,2
VANMEM,MEM,2005,"H. Brown (5-7), L. Hollins (0-4), M. Fratello (40-26)",H. Brown,brownhu99c,5,7,12,1
VANMEM,MEM,2004,H. Brown (50-32),H. Brown,brownhu99c,50,32,82,1
VANMEM,MEM,2003,"S. Lowe (0-8), H. Brown (28-46)",H. Brown,brownhu99c,28,46,74,2
