slug,coach,coach_id,franchise,seasons,games,wins,losses,min_date,max_date,left_truncated
watsoea01c|16|17|PHO,Earl Watson,watsoea01c,PHO,3,118,33,85,2016-02-02,2017-10-21,False
trianja99c|17|17|PHO,Jay Triano,trianja99c,PHO,1,27,9,18,2017-10-23,2017-12-13,False
dunlemi01c|00|01|POR,Mike Dunleavy,dunlemi01c,POR,1,82,50,32,2000-10-31,2001-04-17,True
cheekma01c|01|05|POR,Maurice Cheeks,cheekma01c,POR,4,301,162,139,2001-10-30,2005-03-01,False
pritcke01c|05|05|POR,Kevin Pritchard,pritcke01c,POR,1,27,5,22,2005-03-04,2005-04-20,False
mcmilna01c|05|12|POR,Nate McMillan,mcmilna01c,POR,7,535,266,269,2005-11-02,2012-03-14,False
canalka99c|12|12|POR,Kaleb Canales,canalka99c,POR,1,23,8,15,2012-03-16,2012-04-26,False
stottte99c|12|17|POR,Terry Stotts,stottte99c,POR,6,437,237,200,2012-10-31,2017-12-13,False
adelmri01c|00|06|SAC,Rick Adelman,adelmri01c,SAC,6,492,324,168,2000-10-31,2006-04-18,True
musseer99c|06|07|SAC,Eric Musselman,musseer99c,SAC,1,82,33,49,2006-11-01,2007-04-18,False
theusre01c|07|08|SAC,Reggie Theus,theusre01c,SAC,2,106,44,62,2007-10-31,2008-12-13,False
nattke01c|08|09|SAC,Kenny Natt,nattke01c,SAC,1,58,11,47,2008-12-15,2009-04-15,False
westppa01c|09|12|SAC,Paul Westphal,westppa01c,SAC,3,171,51,120,2009-10-28,2012-01-04,False
smartke01c|12|13|SAC,Keith Smart,smartke01c,SAC,2,141,48,93,2012-01-05,2013-04-17,False
malonmi99c|13|14|SAC,Mike Malone,malonmi99c,SAC,2,106,39,67,2013-10-30,2014-12-13,False
corbity01c|14|15|SAC,Tyrone Corbin,corbity01c,SAC,1,28,7,21,2014-12-16,2015-02-11,False
karlge01c|15|16|SAC,George Karl,karlge01c,SAC,2,112,44,68,2015-02-20,2016-04-13,False
joergda99c|16|17|SAC,Dave Joerger,joergda99c,SAC,2,110,41,69,2016-10-26,2017-12-14,False
popovgr99c|00|17|SAS,Gregg Popovich,popovgr99c,SAS,18,1406,1006,400,2000-10-31,2017-12-12,True
westppa01c|00|00|SEAOKC,Paul Westphal,westppa01c,SEAOKC,1,15,6,9,2000-10-31,2000-11-25,True
mcmilna01c|00|05|SEAOKC,Nate McMillan,mcmilna01c,SEAOKC,5,395,212,183,2000-11-28,2005-04-20,False
weissbo01c|05|06|SEAOKC,Bob Weiss,weissbo01c,SEAOKC,1,30,13,17,2005-11-02,2006-01-02,False
hillbo99c|06|07|SEAOKC,Bob Hill,hillbo99c,SEAOKC,2,134,53,81,2006-01-04,2007-04-18,False
carlepj99c|07|08|SEAOKC,P.J. Carlesimo,carlepj99c,SEAOKC,2,95,21,74,2007-10-31,2008-11-21,False
brooksc01c|08|15|SEAOKC,Scott Brooks,brooksc01c,SEAOKC,7,545,338,207,2008-11-22,2015-04-15,False
donovbi99c|15|17|SEAOKC,Billy Donovan,donovbi99c,SEAOKC,3,191,115,76,2015-10-28,2017-12-13,False
wilkele01c|00|03|TOR,Lenny Wilkens,wilkele01c,TOR,3,246,113,133,2000-10-31,2003-04-16,True
oneilke99c|03|04|TOR,Kevin O'Neill,oneilke99c,TOR,1,82,33,49,2003-10-29,2004-04-14,False
mitchsa01c|04|08|TOR,Sam Mitchell,mitchsa01c,TOR,5,345,156,189,2004-11-03,2008-12-02,False
trianja99c|08|11|TOR,Jay Triano,trianja99c,TOR,3,229,87,142,2008-12-05,2011-04-13,False
caseydw99c|11|17|TOR,Dwane Casey,caseydw99c,TOR,7,502,279,223,2011-12-26,2017-12-13,False
sloanje01c|00|11|UTA,Jerry Sloan,sloanje01c,UTA,11,874,490,384,2000-10-31,2011-02-09,True
corbity01c|11|14|UTA,Tyrone Corbin,corbity01c,UTA,4,258,112,146,2011-02-11,2014-04-16,False
snydequ01c|14|17|UTA,Quin Snyder,snydequ01c,UTA,4,274,142,132,2014-10-29,2017-12-13,False
lowesi01c|00|02|VANMEM,Sidney Lowe,lowesi01c,VANMEM,3,172,46,126,2000-10-31,2002-11-11,True
brownhu99c|02|04|VANMEM,Hubie Brown,brownhu99c,VANMEM,3,168,83,85,2002-11-15,2004-11-24,False
hollili01c|04|04|VANMEM,Lionel Hollins,hollili01c,VANMEM,1,4,0,4,2004-11-26,2004-12-01,False
fratemi99c|04|06|VANMEM,Mike Fratello,fratemi99c,VANMEM,3,178,95,83,2004-12-03,2006-12-27,False
baronto99c|06|07|VANMEM,Tony Barone,baronto99c,VANMEM,1,52,16,36,2006-12-30,2007-04-18,False
iavarma01c|07|09|VANMEM,Marc Iavaroni,iavarma01c,VANMEM,2,123,33,90,2007-10-31,2009-01-21,False
davisjo01c|09|09|VANMEM,Johnny Davis,davisjo01c,VANMEM,1,2,0,2,2009-01-23,2009-01-24,False
hollili01c|09|13|VANMEM,Lionel Hollins,hollili01c,VANMEM,5,351,196,155,2009-01-27,2013-04-17,False
joergda99c|13|16|VANMEM,Dave Joerger,joergda99c,VANMEM,3,246,147,99,2013-10-30,2016-04-13,False
fizdada01c|16|17|VANMEM,David Fizdale,fizdada01c,VANMEM,2,101,50,51,2016-10-26,2017-11-26,False
bickejb01c|17|17|VANMEM,J.B. Bickerstaff,bickejb01c,VANMEM,1,9,1,8,2017-11-29,2017-12-13,False
hamille99c|00|01|WAS,Leonard Hamilton,hamille99c,WAS,1,82,19,63,2000-10-31,2001-04-18,True
collido01c|01|03|WAS,Doug Collins,collido01c,WAS,2,164,74,90,2001-10-30,2003-04-16,False
jordaed01c|03|08|WAS,Eddie Jordan,jordaed01c,WAS,6,421,197,224,2003-10-29,2008-11-22,False
tapsced99c|08|09|WAS,Ed Tapscott,tapsced99c,WAS,1,71,18,53,2008-11-25,2009-04-15,False
saundfl99c|09|12|WAS,Flip Saunders,saundfl99c,WAS,3,181,51,130,2009-10-27,2012-01-23,False
wittmra01c|12|16|WAS,Randy Wittman,wittmra01c,WAS,5,377,178,199,2012-01-25,2016-04-13,False
brooksc01c|16|17|WAS,Scott Brooks,brooksc01c,WAS,2,110,64,46,2016-10-27,2017-12-13,False
