franchise,team,year,coaches_text,coaches_id
SEAOKC,SEA,1993,G. Karl (55-27),karlge01c
SEAOKC,SEA,1992,"K. Jones (18-18), B. Kloppenburg (2-2), G. Karl (27-15)",joneskc01c|kloppbo99c|karlge01c
SEAOKC,SEA,1991,K. Jones (41-41),joneskc01c
SEAOKC,SEA,1990,B. Bickerstaff (41-41),bickebe99c
SEAOKC,SEA,1989,B. Bickerstaff (47-35),bickebe99c
SEAOKC,SEA,1988,B. Bickerstaff (44-38),bickebe99c
SEAOKC,SEA,1987,B. Bickerstaff (39-43),bickebe99c
SEAOKC,SEA,1986,B. Bickerstaff (31-51),bickebe99c
SEAOKC,SEA,1985,L. Wilkens (31-51),wilkele01c
SEAOKC,SEA,1984,L. Wilkens (42-40),wilkele01c
SEAOKC,SEA,1983,L. Wilkens (48-34),wilkele01c
SEAOKC,SEA,1982,L. Wilkens (52-30),wilkele01c
SEAOKC,SEA,1981,L. Wilkens (34-48),wilkele01c
SEAOKC,SEA,1980,L. Wilkens (56-26),wilkele01c
SEAOKC,SEA,1979,L. Wilkens (52-30),wilkele01c
SEAOKC,SEA,1978,"B. Hopkins (5-17), L. Wilkens (42-18)",hopkibo01c|wilkele01c
SEAOKC,SEA,1977,B. Russell (40-42),russebi01c
SEAOKC,SEA,1976,B. Russell (43-39),russebi01c
SEAOKC,SEA,1975,B. Russell (43-39),russebi01c
SEAOKC,SEA,1974,B. Russell (36-46),russebi01c
SEAOKC,SEA,1973,"T. Nissalke (13-32), B. Buckwalter (13-24)",nissato99c|buckwbu99c
SEAOKC,SEA,1972,L. Wilkens (47-35),wilkele01c
SEAOKC,SEA,1971,L. Wilkens (38-44),wilkele01c
SEAOKC,SEA,1970,L. Wilkens (36-46),wilkele01c
SEAOKC,SEA,1969,A. Bianchi (30-52),biancal01c
SEAOKC,SEA,1968,A. Bianchi (23-59),biancal01c
ORL,ORL,2018,F. Vogel (11-18),vogelfr99c
ORL,ORL,2017,F. Vogel (29-53),vogelfr99c
ORL,ORL,2016,S. Skiles (35-47),skilesc01c
ORL,ORL,2015,"J. Vaughn (15-37), J. Borrego (10-20)",vaughja01c|borreja99c
ORL,ORL,2014,J. Vaughn (23-59),vaughja01c
ORL,ORL,2013,J. Vaughn (20-62),vaughja01c
ORL,ORL,2012,S. Van Gundy (37-29),vangust99c
ORL,ORL,2011,S. Van Gundy (52-30),vangust99c
ORL,ORL,2010,S. Van Gundy (59-23),vangust99c
ORL,ORL,2009,S. Van Gundy (59-23),vangust99c
ORL,ORL,2008,S. Van Gundy (52-30),vangust99c
ORL,ORL,2007,B. Hill (40-42),hillbr99c
ORL,ORL,2006,B. Hill (36-46),hillbr99c
ORL,ORL,2005,"J. Davis (31-33), C. Jent (5-13)",davisjo01c|jentch01c
ORL,ORL,2004,"D. Rivers (1-10), J. Davis (20-51)",riverdo01c|davisjo01c
ORL,ORL,2003,D. Rivers (42-40),riverdo01c
ORL,ORL,2002,D. Rivers (44-38),riverdo01c
ORL,ORL,2001,D. Rivers (43-39),riverdo01c
ORL,ORL,2000,D. Rivers (41-41),riverdo01c
ORL,ORL,1999,C. Daly (33-17),dalych99c
ORL,ORL,1998,C. Daly (41-41),dalych99c
ORL,ORL,1997,"B. Hill (24-25), R. Adubato (21-12)",hillbr99c|adubari99c
ORL,ORL,1996,B. Hill (60-22),hillbr99c
ORL,ORL,1995,B. Hill (57-25),hillbr99c
ORL,ORL,1994,B. Hill (50-32),hillbr99c
ORL,ORL,1993,M. Guokas (41-41),guokama02c
ORL,ORL,1992,M. Guokas (21-61),guokama02c
ORL,ORL,1991,M. Guokas (31-51),guokama02c
ORL,ORL,1990,M. Guokas (18-64),guokama02c
PHI,PHI,2018,B. Brown (14-13),brownbr99c
PHI,PHI,2017,B. Brown (28-54),brownbr99c
PHI,PHI,2016,B. Brown (10-72),brownbr99c
PHI,PHI,2015,B. Brown (18-64),brownbr99c
PHI,PHI,2014,B. Brown (19-63),brownbr99c
PHI,PHI,2013,D. Collins (34-48),collido01c
PHI,PHI,2012,D. Collins (35-31),collido01c
PHI,PHI,2011,D. Collins (41-41),collido01c
PHI,PHI,2010,E. Jordan (27-55),jordaed01c
PHI,PHI,2009,"M. Cheeks (9-14), T. DiLeo (32-27)",cheekma01c|dileoto99c
PHI,PHI,2008,M. Cheeks (40-42),cheekma01c
PHI,PHI,2007,M. Cheeks (35-47),cheekma01c
PHI,PHI,2006,M. Cheeks (38-44),cheekma01c
PHI,PHI,2005,J. O'Brien (43-39),obrieji99c
PHI,PHI,2004,"R. Ayers (21-31), C. Ford (12-18)",ayersra99c|fordch01c
PHI,PHI,2003,L. Brown (48-34),brownla01c
PHI,PHI,2002,L. Brown (43-39),brownla01c
PHI,PHI,2001,L. Brown (56-26),brownla01c
PHI,PHI,2000,L. Brown (49-33),brownla01c
PHI,PHI,1999,L. Brown (28-22),brownla01c
PHI,PHI,1998,L. Brown (31-51),brownla01c
PHI,PHI,1997,J. Davis (22-60),davisjo01c
PHI,PHI,1996,J. Lucas (18-64),lucasjo01c
PHI,PHI,1995,J. Lucas (24-58),lucasjo01c
PHI,PHI,1994,F. Carter (25-57),cartefr01c
PHI,PHI,1993,"D. Moe (19-37), F. Carter (7-19)",moedo01c|cartefr01c
PHI,PHI,1992,J. Lynam (35-47),lynamji99c
PHI,PHI,1991,J. Lynam (44-38),lynamji99c
PHI,PHI,1990,J. Lynam (53-29),lynamji99c
PHI,PHI,1989,J. Lynam (46-36),lynamji99c
PHI,PHI,1988,"M. Guokas (20-23), J. Lynam (16-23)",guokama02c|lynamji99c
PHI,PHI,1987,M. Guokas (45-37),guokama02c
PHI,PHI,1986,M. Guokas (54-28),guokama02c
PHI,PHI,1985,B. Cunningham (58-24),cunnibi01c
PHI,PHI,1984,B. Cunningham (52-30),cunnibi01c
PHI,PHI,1983,B. Cunningham (65-17),cunnibi01c
PHI,PHI,1982,B. Cunningham (58-24),cunnibi01c
PHI,PHI,1981,B. Cunningham (62-20),cunnibi01c
PHI,PHI,1980,B. Cunningham (59-23),cunnibi01c
PHI,PHI,1979,B. Cunningham (47-35),cunnibi01c
PHI,PHI,1978,"G. Shue (2-4), B. Cunningham (53-23)",shuege01c|cunnibi01c
PHI,PHI,1977,G. Shue (50-32),shuege01c
PHI,PHI,1976,G. Shue (46-36),shuege01c
PHI,PHI,1975,G. Shue (34-48),shuege01c
PHI,PHI,1974,G. Shue (25-57),shuege01c
PHI,PHI,1973,"R. Rubin (4-47), K. Loughery (5-26)",rubinro99c|loughke01c
PHI,PHI,1972,J. Ramsay (30-52),ramsaja99c
PHI,PHI,1971,J. Ramsay (47-35),ramsaja99c
PHI,PHI,1970,J. Ramsay (42-40),ramsaja99c
PHI,PHI,1969,J. Ramsay (55-27),ramsaja99c
PHI,PHI,1968,A. Hannum (62-20),hannual01c
