date,season,playoff,team,elo,win,franchise
1979-11-28,1980,,WSB,1462.6877,False,WSB
1979-11-28,1980,,SDC,1469.5433,True,SDC
1979-11-28,1980,,CLE,1452.6147,False,CLE
1979-11-28,1980,,MIL,1563.4622,True,MIL
1979-11-28,1980,,DET,1415.0283,False,DET
1979-11-28,1980,,PHO,1599.0413,False,PHO
1979-11-28,1980,,ATL,1569.4185,True,ATL
1979-11-28,1980,,DEN,1478.9818,False,DEN
1979-11-28,1980,,GSW,1479.9281,False,GSW
1979-11-28,1980,,HOU,1519.0588,True,HOU
1979-11-28,1980,,POR,1598.349,False,POR
1979-11-28,1980,,IND,1454.3818,False,IND
1979-11-28,1980,,NJN,1444.8344,True,NJNBRK
1979-11-28,1980,,PHI,1600.0415,True,PHI
1979-11-28,1980,,BOS,1565.6783,True,BOS
1979-11-28,1980,,SEA,1634.6926,True,SEAOKC
1979-11-29,1980,,NYK,1445.0387,False,NYK
1979-11-29,1980,,KCK,1560.7461,True,KCK
