tenure.slug,coach.id,name,tenure.ending,end.event,black,interim.promoted,first.hc.job,total.games,win.pct,starting.elo,tenure.progress,last.year.progress,recent.progress,peak,middle,bottom
dantomi01c_NYK_2009_2012,dantomi01c,Mike D'Antoni,resigned,0,0,0,0,288,0.4201388888888889,1359.4448,108.21990000000005,-38.77659999999992,-24.349899999999934,1552.0238,1435.703495486111,1327.4937
dantomi01c_PHO_2004_2008,dantomi01c,Mike D'Antoni,resigned,0,0,1,1,389,0.6503856041131105,1457.1843,195.4304000000002,-34.45679999999993,38.697200000000066,1742.8673,1606.3671313624675,1390.2633
davisjo01c_ORL_2004_2005,davisjo01c,Johnny Davis,fired,1,1,0,0,135,0.37777777777777777,1404.3136,11.69230000000016,133.50480000000016,-12.600099999999884,1471.8455,1395.717371851852,1266.4756
delnevi01c_CHI_2009_2010,delnevi01c,Vinny Del Negro,fired,1,0,0,1,164,0.5,1450.1299,30.603900000000067,-63.70679999999993,36.441100000000006,1544.4406,1476.3533670731713,1394.5201
delnevi01c_LAC_2011_2013,delnevi01c,Vinny Del Negro,fired,1,0,0,0,230,0.5565217391304348,1366.6393,269.42859999999996,38.88259999999991,17.187200000000075,1690.4485,1512.551761304347,1303.2384
donovbi99c_OKC_2016_2020,donovbi99c,Billy Donovan,active,0,0,0,1,392,0.6096938775510204,1563.671375,38.70887916669017,42.60961962944998,1.1439856372001032,1710.7324670821,1589.8235523352391,1510.7980467127
drewla01c_ATL_2011_2013,drewla01c,Larry Drew,fired,1,1,0,1,230,0.5565217391304348,1564.2256,-79.97250000000008,-80.14350000000013,-19.974100000000135,1608.431,1537.3321047826084,1444.0931
drewla01c_MIL_2014_2014,drewla01c,Larry Drew,fired,1,1,0,0,82,0.18292682926829268,1445.7207,-184.49670000000015,-155.20910000000003,-4.9866000000001804,1455.7802,1323.6685841463416,1256.8728
dunlami99c_CHA_2013_2013,dunlami99c,Mike Dunlap,fired,1,0,0,1,82,0.25609756097560976,1240.0372,54.99050000000011,139.58810000000017,24.072000000000116,1295.0277,1258.7835402439025,1216.9727
dunlemi01c_LAC_2004_2010,dunlemi01c,Mike Dunleavy,resigned,0,0,0,0,541,0.3974121996303142,1428.0925,-6.81919999999991,132.4366,-1.6816999999998643,1591.725,1440.1570264325308,1278.7294
dunlemi01c_POR_1998_2001,dunlemi01c,Mike Dunleavy,fired,1,0,0,0,296,0.6418918918918919,1549.3589,30.697900000000118,-54.28340000000003,-15.970199999999977,1719.2051,1605.638795608109,1491.3889
fishede01c_NYK_2015_2016,fishede01c,Derek Fisher,fired,1,1,0,1,136,0.29411764705882354,1534.4419,-128.2711647709,137.74853522910007,-37.84431884003993,1534.4419,1372.2490668176001,1242.407
fizdada01c_MEM_2017_2018,fizdada01c,David Fizdale,fired,1,1,0,1,101,0.49504950495049505,1455.03979850281,13.216123397639876,-28.963303755059997,-46.43857961729009,1597.55159595902,1518.5310561177346,1425.52830777324
fizdada01c_NYK_2019_2020,fizdada01c,David Fizdale,fired,1,1,0,0,104,0.20192307692307693,1409.59080533561,-133.71893068277996,6.399376676630027,-0.27616999295992173,1419.15283236063,1319.988463799461,1238.70678709778
floydti99c_CHI_1999_2002,floydti99c,Tim Floyd,resigned,0,0,0,1,239,0.20502092050209206,1715.3528,-433.64149999999995,44.600599999999986,2.8736999999998716,1715.3528,1333.9759543933055,1217.8412
floydti99c_NOH_2004_2004,floydti99c,Tim Floyd,fired,1,0,0,0,82,0.5,1542.0544,-76.98949999999991,-98.93499999999995,-9.095299999999952,1594.0529,1518.8213609756094,1442.6393
fordch01c_LAC_1999_2000,fordch01c,Chris Ford,fired,1,0,0,0,95,0.21052631578947367,1306.8439,-20.82860000000005,-12.8907999999999,-52.63920000000007,1360.9327,1302.4369600000002,1229.8854
frankla99c_DET_2012_2013,frankla99c,Lawrence Frank,fired,1,0,0,0,148,0.36486486486486486,1423.3777,-49.38079999999991,-11.865499999999884,22.077200000000175,1460.7504,1398.2786202702707,1315.127
