coach.id,name,tenure.id,franchise.id,start.year,end.year,coach.wins,coach.losses,coach.games,tenure.slug,tenure.ending,interim.promoted
jordaed01c,Eddie Jordan,465,PHI,2010,2010,27,55,82,jordaed01c_PHI_2010_2010,fired,
collido01c,Doug Collins,466,PHI,2011,2013,110,120,230,collido01c_PHI_2011_2013,resigned,
brownbr99c,Brett Brown,467,PHI,2014,2020,217,340,557,brownbr99c_PHI_2014_2020,,
aingeda01c,Danny Ainge,479,PHO,1997,2000,136,90,226,aingeda01c_PHO_1997_2000,resigned,
skilesc01c,Scott Skiles,480,PHO,2000,2002,116,79,195,skilesc01c_PHO_2000_2002,resigned,
johnsfr01c,Frank Johnson,481,PHO,2002,2004,63,71,134,johnsfr01c_PHO_2002_2004,fired,
dantomi01c,Mike D'Antoni,482,PHO,2004,2008,253,136,389,dantomi01c_PHO_2004_2008,resigned,x
portete01c,Terry Porter,483,PHO,2009,2009,28,23,51,portete01c_PHO_2009_2009,fired,
gentral99c,Alvin Gentry,484,PHO,2009,2013,158,144,302,gentral99c_PHO_2009_2013,fired,
hunteli01c,Lindsey Hunter,485,PHO,2013,2013,12,29,41,hunteli01c_PHO_2013_2013,interim only,
hornaje01c,Jeff Hornacek,486,PHO,2014,2016,101,112,213,hornaje01c_PHO_2014_2016,fired,
watsoea01c,Earl Watson,487,PHO,2016,2018,33,85,118,watsoea01c_PHO_2016_2018,fired,
trianja99c,Jay Triano,488,PHO,2018,2018,21,58,79,trianja99c_PHO_2018_2018,interim only,
kokosig01c,Igor Kokoskov,489,PHO,2019,2019,19,63,82,kokosig01c_PHO_2019_2019,fired,
willimo01c,Monty Williams,490,PHO,2020,2020,26,39,65,willimo01c_PHO_2020_2020,,
dunlemi01c,Mike Dunleavy,499,POR,1998,2001,190,106,296,dunlemi01c_POR_1998_2001,fired,
cheekma01c,Maurice Cheeks,500,POR,2002,2005,162,139,301,cheekma01c_POR_2002_2005,fired,
pritcke01c,Kevin Pritchard,501,POR,2005,2005,5,22,27,pritcke01c_POR_2005_2005,interim only,
mcmilna01c,Nate McMillan,502,POR,2006,2012,266,269,535,mcmilna01c_POR_2006_2012,fired,
canalka99c,Kaleb Canales,503,POR,2012,2012,8,15,23,canalka99c_POR_2012_2012,interim only,
stottte99c,Terry Stotts,504,POR,2013,2020,354,286,640,stottte99c_POR_2013_2020,,
adelmri01c,Rick Adelman,525,SAC,1999,2006,395,229,624,adelmri01c_SAC_1999_2006,fired,
musseer99c,Eric Musselman,526,SAC,2007,2007,33,49,82,musseer99c_SAC_2007_2007,fired,
theusre01c,Reggie Theus,527,SAC,2008,2009,44,62,106,theusre01c_SAC_2008_2009,fired,
nattke01c,Kenny Natt,528,SAC,2009,2009,11,47,58,nattke01c_SAC_2009_2009,interim only,
westppa01c,Paul Westphal,529,SAC,2010,2012,51,120,171,westppa01c_SAC_2010_2012,fired,
smartke01c,Keith Smart,530,SAC,2012,2013,48,93,141,smartke01c_SAC_2012_2013,fired,
malonmi99c,Mike Malone,531,SAC,2014,2015,39,67,106,malonmi99c_SAC_2014_2015,fired,
corbity01c,Tyrone Corbin,532,SAC,2015,2015,7,21,28,corbity01c_SAC_2015_2015,fired,
karlge01c,George Karl,533,SAC,2015,2016,44,68,112,karlge01c_SAC_2015_2016,fired,
joergda99c,Dave Joerger,534,SAC,2017,2019,98,148,246,joergda99c_SAC_2017_2019,fired,
waltolu01c,Luke Walton,535,SAC,2020,2020,28,36,64,waltolu01c_SAC_2020_2020,,
popovgr99c,Gregg Popovich,557,SAS,1997,2020,1272,611,1883,popovgr99c_SAS_1997_2020,,
