franchise,team,season,game_num,date,result
ATL,ATL,2005,75,2005-04-08,L
ATL,ATL,2005,76,2005-04-09,W
ATL,ATL,2005,77,2005-04-11,L
ATL,ATL,2005,78,2005-04-13,L
ATL,ATL,2005,79,2005-04-16,L
ATL,ATL,2005,80,2005-04-17,W
ATL,ATL,2005,81,2005-04-19,L
ATL,ATL,2005,82,2005-04-20,L
ATL,ATL,2006,1,2005-11-02,L
ATL,ATL,2006,2,2005-11-04,L
ATL,ATL,2006,3,2005-11-05,L
ATL,ATL,2006,4,2005-11-08,L
ATL,ATL,2006,5,2005-11-10,L
ATL,ATL,2006,6,2005-11-12,L
ATL,ATL,2006,7,2005-11-15,L
ATL,ATL,2006,8,2005-11-17,L
ATL,ATL,2006,9,2005-11-18,L
ATL,ATL,2006,10,2005-11-23,W
ATL,ATL,2006,11,2005-11-25,W
ATL,ATL,2006,12,2005-11-27,L
ATL,ATL,2006,13,2005-11-29,L
ATL,ATL,2006,14,2005-11-30,L
ATL,ATL,2006,15,2005-12-02,L
ATL,ATL,2006,16,2005-12-04,L
ATL,ATL,2006,17,2005-12-06,L
ATL,ATL,2006,18,2005-12-07,L
ATL,ATL,2006,19,2005-12-10,W
ATL,ATL,2006,20,2005-12-13,W
ATL,ATL,2006,21,2005-12-14,L
ATL,ATL,2006,22,2005-12-16,W
ATL,ATL,2006,23,2005-12-18,W
ATL,ATL,2006,24,2005-12-20,L
ATL,ATL,2006,25,2005-12-23,W
ATL,ATL,2006,26,2005-12-27,L
ATL,ATL,2006,27,2005-12-28,L
ATL,ATL,2006,28,2005-12-30,L
ATL,ATL,2006,29,2006-01-03,L
ATL,ATL,2006,30,2006-01-06,W
ATL,ATL,2006,31,2006-01-07,W
ATL,ATL,2006,32,2006-01-10,L
ATL,ATL,2006,33,2006-01-11,L
ATL,ATL,2006,34,2006-01-13,L
ATL,ATL,2006,35,2006-01-14,L
ATL,ATL,2006,36,2006-01-16,W
ATL,ATL,2006,37,2006-01-18,L
ATL,ATL,2006,38,2006-01-20,L
ATL,ATL,2006,39,2006-01-23,W
ATL,ATL,2006,40,2006-01-25,L
ATL,ATL,2006,41,2006-01-27,L
ATL,ATL,2006,42,2006-01-28,L
ATL,ATL,2006,43,2006-01-30,W
ATL,ATL,2006,44,2006-02-01,W
ATL,ATL,2006,45,2006-02-03,W
ATL,ATL,2006,46,2006-02-04,L
ATL,ATL,2006,47,2006-02-07,W
ATL,ATL,2006,48,2006-02-10,L
ATL,ATL,2006,49,2006-02-12,L
ATL,ATL,2006,50,2006-02-15,W
ATL,ATL,2006,51,2006-02-21,L
ATL,ATL,2006,52,2006-02-22,L
ATL,ATL,2006,53,2006-02-24,W
ATL,ATL,2006,54,2006-02-25,L
ATL,ATL,2006,55,2006-02-27,W
ATL,ATL,2006,56,2006-03-01,W
ATL,ATL,2006,57,2006-03-03,L
ATL,ATL,2006,58,2006-03-04,L
ATL,ATL,2006,59,2006-03-07,W
ATL,ATL,2006,60,2006-03-11,L
ATL,ATL,2006,61,2006-03-13,L
ATL,ATL,2006,62,2006-03-15,L
ATL,ATL,2006,63,2006-03-17,L
ATL,ATL,2006,64,2006-03-19,W
ATL,ATL,2006,65,2006-03-20,L
ATL,ATL,2006,66,2006-03-22,L
ATL,ATL,2006,67,2006-03-25,L
ATL,ATL,2006,68,2006-03-26,L
ATL,ATL,2006,69,2006-03-28,L
ATL,ATL,2006,70,2006-03-29,W
ATL,ATL,2006,71,2006-03-31,L
ATL,ATL,2006,72,2006-04-02,L
ATL,ATL,2006,73,2006-04-04,L
ATL,ATL,2006,74,2006-04-05,W
ATL,ATL,2006,75,2006-04-07,W
ATL,ATL,2006,76,2006-04-09,L
ATL,ATL,2006,77,2006-04-10,L
ATL,ATL,2006,78,2006-04-12,L
ATL,ATL,2006,79,2006-04-14,L
ATL,ATL,2006,80,2006-04-15,W
ATL,ATL,2006,81,2006-04-18,W
ATL,ATL,2006,82,2006-04-19,L
ATL,ATL,2007,1,2006-11-01,L
ATL,ATL,2007,2,2006-11-03,W
ATL,ATL,2007,3,2006-11-05,W
ATL,ATL,2007,4,2006-11-07,W
ATL,ATL,2007,5,2006-11-10,W
ATL,ATL,2007,6,2006-11-11,L
ATL,ATL,2007,7,2006-11-14,L
ATL,ATL,2007,8,2006-11-18,L
ATL,ATL,2007,9,2006-11-22,L
ATL,ATL,2007,10,2006-11-24,W
ATL,ATL,2007,11,2006-11-25,L
ATL,ATL,2007,12,2006-11-28,L
ATL,ATL,2007,13,2006-11-29,W
ATL,ATL,2007,14,2006-12-01,L
ATL,ATL,2007,15,2006-12-03,W
ATL,ATL,2007,16,2006-12-05,L
ATL,ATL,2007,17,2006-12-06,W
ATL,ATL,2007,18,2006-12-08,L
ATL,ATL,2007,19,2006-12-10,L
ATL,ATL,2007,20,2006-12-12,L
ATL,ATL,2007,21,2006-12-13,L
ATL,ATL,2007,22,2006-12-15,W
ATL,ATL,2007,23,2006-12-16,L
ATL,ATL,2007,24,2006-12-20,L
ATL,ATL,2007,25,2006-12-22,L
ATL,ATL,2007,26,2006-12-23,L
ATL,ATL,2007,27,2006-12-27,L
ATL,ATL,2007,28,2006-12-29,L
ATL,ATL,2007,29,2006-12-31,L
ATL,ATL,2007,30,2007-01-05,L
ATL,ATL,2007,31,2007-01-06,W
ATL,ATL,2007,32,2007-01-09,L
ATL,ATL,2007,33,2007-01-10,L
ATL,ATL,2007,34,2007-01-12,W
ATL,ATL,2007,35,2007-01-15,W
ATL,ATL,2007,36,2007-01-17,W
ATL,ATL,2007,37,2007-01-19,L
ATL,ATL,2007,38,2007-01-20,L
ATL,ATL,2007,39,2007-01-23,L
ATL,ATL,2007,40,2007-01-24,W
ATL,ATL,2007,41,2007-01-26,W
ATL,ATL,2007,42,2007-01-27,L
ATL,ATL,2007,43,2007-01-29,W
ATL,ATL,2007,44,2007-01-31,W
ATL,ATL,2007,45,2007-02-02,L
ATL,ATL,2007,46,2007-02-04,W
ATL,ATL,2007,47,2007-02-05,L
ATL,ATL,2007,48,2007-02-07,L
ATL,ATL,2007,49,2007-02-09,W
ATL,ATL,2007,50,2007-02-11,W
ATL,ATL,2007,51,2007-02-12,L
ATL,ATL,2007,52,2007-02-14,W
ATL,ATL,2007,53,2007-02-20,L
ATL,ATL,2007,54,2007-02-21,L
ATL,ATL,2007,55,2007-02-23,W
ATL,ATL,2007,56,2007-02-25,L
ATL,ATL,2007,57,2007-02-26,L
ATL,ATL,2007,58,2007-02-28,L
ATL,ATL,2007,59,2007-03-02,L
ATL,ATL,2007,60,2007-03-03,L
ATL,ATL,2007,61,2007-03-05,L
ATL,ATL,2007,62,2007-03-07,W
ATL,ATL,2007,63,2007-03-09,W
ATL,ATL,2007,64,2007-03-10,W
ATL,ATL,2007,65,2007-03-13,W
ATL,ATL,2007,66,2007-03-14,L
ATL,ATL,2007,67,2007-03-17,L
ATL,ATL,2007,68,2007-03-19,W
ATL,ATL,2007,69,2007-03-21,L
ATL,ATL,2007,70,2007-03-23,L
ATL,ATL,2007,71,2007-03-25,L
ATL,ATL,2007,72,2007-03-26,L
ATL,ATL,2007,73,2007-03-28,L
ATL,ATL,2007,74,2007-04-01,L
ATL,ATL,2007,75,2007-04-04,L
ATL,ATL,2007,76,2007-04-06,W
ATL,ATL,2007,77,2007-04-08,L
