franchise,team,year,coaches_text,name,wins,losses,total_games,order
SAC,SAC,2015,"M. Malone (11-13), T. Corbin (7-21), G. Karl (11-19)",T. Corbin,7,21,28,2
SAC,SAC,2015,"M. Malone (11-13), T. Corbin (7-21), G. Karl (11-19)",M. Malone,11,13,24,1
SAC,SAC,2014,M. Malone (28-54),M. Malone,28,54,82,1
SAC,SAC,2013,K. Smart (28-54),K. Smart,28,54,82,1
SAC,SAC,2012,"P. Westphal (2-5), K. Smart (20-39)",K. Smart,20,39,59,2
SAC,SAC,2012,"P. Westphal (2-5), K. Smart (20-39)",P. Westphal,2,5,7,1
SAC,SAC,2011,P. Westphal (24-58),P. Westphal,24,58,82,1
SAC,SAC,2010,P. Westphal (25-57),P. Westphal,25,57,82,1
SAC,SAC,2009,"R. Theus (6-18), K. Natt (11-47)",K. Natt,11,47,58,2
SAC,SAC,2009,"R. Theus (6-18), K. Natt (11-47)",R. Theus,6,18,24,1
SAC,SAC,2008,R. Theus (38-44),R. Theus,38,44,82,1
SAC,SAC,2007,E. Musselman (33-49),E. Musselman,33,49,82,1
SAC,SAC,2006,R. Adelman (44-38),R. Adelman,44,38,82,1
SAC,SAC,2005,R. Adelman (50-32),R. Adelman,50,32,82,1
SAC,SAC,2004,R. Adelman (55-27),R. Adelman,55,27,82,1
SAC,SAC,2003,R. Adelman (59-23),R. Adelman,59,23,82,1
SAC,SAC,2002,R. Adelman (61-21),R. Adelman,61,21,82,1
SAC,SAC,2001,R. Adelman (55-27),R. Adelman,55,27,82,1
SAS,SAS,2017,G. Popovich (61-21),G. Popovich,61,21,82,1
SAS,SAS,2016,G. Popovich (67-15),G. Popovich,67,15,82,1
SAS,SAS,2015,G. Popovich (55-27),G. Popovich,55,27,82,1
SAS,SAS,2014,G. Popovich (62-20),G. Popovich,62,20,82,1
SAS,SAS,2013,G. Popovich (58-24),G. Popovich,58,24,82,1
SAS,SAS,2012,G. Popovich (50-16),G. Popovich,50,16,66,1
SAS,SAS,2011,G. Popovich (61-21),G. Popovich,61,21,82,1
SAS,SAS,2010,G. Popovich (50-32),G. Popovich,50,32,82,1
SAS,SAS,2009,G. Popovich (54-28),G. Popovich,54,28,82,1
SAS,SAS,2008,G. Popovich (56-26),G. Popovich,56,26,82,1
SAS,SAS,2007,G. Popovich (58-24),G. Popovich,58,24,82,1
